PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions
Hotel,1927,1.0,12,Hotel,88434.0,60.0,7456910.0,249.98
Hotel,1996,1.0,11,Hotel,83880.0,61.0,8664479.0,295.86
Hotel,1969,1.0,41,Hotel,756493.0,43.0,73937112.0,2089.28
Hotel,1926,1.0,10,Hotel,61320.0,56.0,6946800.5,286.43
Other,1999,1.0,2,Other,88830.0,,12581712.0,301.81
Hotel,1926,1.0,11,Hotel,81352.0,27.0,6062767.5,176.14
Other,1926,1.0,8,Other - Entertainment/Public Assembly,102761.0,,7067881.5,221.51
Hotel,1904,1.0,15,Hotel,163984.0,43.0,14194054.0,392.16
Hotel,1969,1.0,11,Hotel,133884.0,30.0,16646930.0,691.26
Hotel,1998,1.0,25,Hotel,336640.0,36.0,27070114.0,740.97
Hotel,1928,1.0,9,Hotel,65009.0,48.0,6358719.5,328.23
Hotel,1980,1.0,33,Hotel,295511.0,58.0,22524948.0,648.62
Hotel,1922,1.0,11,Hotel,67390.0,35.0,11179203.0,511.39
Hotel,1983,1.0,28,Hotel,348329.0,31.0,34351920.0,802.89
Mixed Use Property,1907,1.0,5,Other,16442.0,,7877219.0,273.02
Hotel,1916,1.0,10,Hotel,104352.0,39.0,10154608.0,349.32
Other,1916,1.0,10,Other,537150.0,76.0,47023088.0,1265.29
Other,1985,1.0,19,Other,385274.0,,49539212.0,1699.45
Hotel,2001,1.0,6,Hotel,58006.0,84.0,3673186.75,90.01
Other,1928,1.0,7,College/University,125000.0,,12183313.0,388.04
Other,1930,1.0,2,Other,67224.0,,1310236.625,9.13
Hotel,2001,1.0,10,Hotel,128909.0,57.0,11171407.0,328.63
Hotel,1978,1.0,5,Hotel,47994.0,57.0,4557974.0,128.44
Small- and Mid-Sized Office,1906,1.0,3,Office,40943.0,,4703690.0,157.77
Hotel,1994,1.0,4,Hotel,81871.0,29.0,6731281.5,215.0
Small- and Mid-Sized Office,1961,1.0,2,Office,55586.0,57.0,6536359.5,130.56
Small- and Mid-Sized Office,1900,1.0,2,Office,51029.0,83.0,3150635.5,83.86
Other,1954,1.0,3,K-12 School,175015.0,95.0,7886505.5,247.85
Other,1911,1.0,3,Self-Storage Facility,38439.0,,2331573.25,45.43
Hotel,1969,1.0,24,Hotel,348630.0,67.0,16163194.0,295.33
Other,1920,1.0,2,Other,51747.0,,1239429.75,33.26
Small- and Mid-Sized Office,1910,1.0,8,Office,34947.0,14.0,5242479.5,35.36
Mixed Use Property,1926,1.0,2,Other - Entertainment/Public Assembly,23500.0,,15683742.0,584.31
Hotel,1930,1.0,20,Hotel,83591.0,71.0,5078816.0,59.19
Hotel,1985,1.0,7,Hotel,41340.0,98.0,5348309.0,134.38
Hotel,1908,1.0,7,Hotel,88360.0,99.0,6088417.5,227.18
Hotel,1959,1.0,5,Hotel,70627.0,86.0,5428403.5,144.79
Hotel,2000,1.0,7,Hotel,107547.0,84.0,6835263.5,199.95
Hotel,1997,1.0,6,Hotel,88490.0,80.0,5941927.0,162.39
Hotel,1998,1.0,6,Hotel,155602.0,81.0,6849826.5,152.76
Other,1911,1.0,3,K-12 School,56072.0,76.0,3800842.5,146.34
Hotel,1999,1.0,4,Hotel,78051.0,94.0,5387530.0,171.64
Small- and Mid-Sized Office,1962,1.0,2,Office,54984.0,71.0,3630147.25,87.98
Other,1922,1.0,5,Senior Care Community,296313.0,54.0,45547252.0,1727.11
Other,1970,1.0,2,Senior Care Community,93397.0,1.0,16959754.0,609.1
Hotel,2008,1.0,6,Hotel,63371.0,74.0,3787499.0,67.06
Hotel,1908,1.0,7,Hotel,76631.0,71.0,7250730.5,262.75
Mixed Use Property,1983,1.0,6,Medical Office,40174.0,,15684371.0,481.97
Retail Store,1929,1.0,2,Retail Store,72072.0,96.0,1243027.75,39.06
Hotel,1990,1.0,7,Hotel,235788.0,37.0,20194606.0,526.85
Other,1962,1.0,1,Other,368000.0,,23736924.0,607.41
Other,1962,1.0,1,Other,65000.0,,8181881.0,344.2
Other,1938,1.0,5,Other,278500.0,,21257836.0,804.2
Other,1962,1.0,2,Other,52000.0,,2682242.75,101.83
Other,1928,1.0,1,Other,108000.0,,875943.3125,6.11
Other,1928,1.0,2,Other,296000.0,,20823520.0,490.73
Large Office,2010,1.0,6,Office,729584.0,93.0,38105108.0,674.09
Small- and Mid-Sized Office,1970,1.0,4,Office,48546.0,68.0,3647345.75,48.76
Hotel,1962,2.0,4,Hotel,50017.0,53.0,5528580.5,191.2
Other,1923,1.0,3,K-12 School,67743.0,34.0,3036464.0,78.85
Small- and Mid-Sized Office,2003,1.0,3,Office,63681.0,63.0,4980737.5,34.14
Other,1941,1.0,4,Other,49000.0,,6367210.0,44.32
Other,1929,1.0,2,Other,119146.0,,4384625.5,133.58
Hotel,2001,1.0,4,Hotel,51390.0,89.0,3616214.0,127.29
Hotel,2002,1.0,3,Hotel,70609.0,78.0,3323400.5,89.02
Hotel,1904,1.0,5,Hotel,190980.0,98.0,6505995.0,142.39
Other,1998,1.0,6,Other - Entertainment/Public Assembly,189750.0,,14881950.0,429.12
Other,1954,4.0,5,Other,302661.0,14.0,47602720.0,1990.5
Other,2006,1.0,4,Other,42755.0,,9550716.0,176.75
Other,1910,1.0,4,Other,58000.0,,2095175.25,46.26
Hotel,1996,1.0,4,Hotel,113702.0,76.0,8016521.0,228.4
Other,1915,1.0,3,College/University,64820.0,,3284214.5,74.33
Small- and Mid-Sized Office,2002,1.0,2,Office,92300.0,,16274449.0,222.02
Other,1950,1.0,1,Other,68359.0,,8086930.5,204.08
Small- and Mid-Sized Office,1958,1.0,1,Office,25765.0,,4503671.5,61.21
Other,1980,1.0,2,College/University,52611.0,,4390158.0,104.26
Other,2001,1.0,4,Other,135520.0,89.0,4800620.5,129.39
Other,1971,3.0,6,Other,137565.0,,14196194.0,422.39
Other,2004,1.0,11,Other,250000.0,,66000296.0,2055.82
Retail Store,1951,1.0,1,Retail Store,505103.0,98.0,28763498.0,723.47
Other,1964,1.0,3,Other,47012.0,,7668810.0,231.53
Retail Store,1965,1.0,4,Retail Store,122000.0,76.0,8729918.0,66.3
Other,1953,4.180000000000064,10,Other,879000.0,10.0,257764208.0,8145.52
Other,1996,1.0,3,Other,28636.0,72.0,3313397.0,83.7
Other,1910,1.0,5,Self-Storage Facility,85521.0,,1617801.25,51.11
Warehouse,1937,1.0,1,Non-Refrigerated Warehouse,234144.0,87.0,7874958.5,297.43
Retail Store,1966,1.0,1,Retail Store,65425.0,72.0,3016373.5,35.78
Retail Store,1965,1.0,1,Retail Store,67782.0,37.0,9589728.0,369.14
Other,1973,1.0,3,Other,56000.0,,2088978.125,59.34
Other,1900,1.0,1,Other,43000.0,,7942537.5,225.69
Hotel,1998,1.0,7,Hotel,141591.0,76.0,11754087.0,338.16
Hotel,1968,1.0,4,Hotel,64893.0,70.0,6211749.5,208.26
Small- and Mid-Sized Office,1900,1.0,3,Office,34416.0,78.0,1722053.0,28.27
Other,1999,1.0,6,Other - Entertainment/Public Assembly,886524.7200000013,,62160304.0,892.63
Other,1999,1.0,3,Other - Entertainment/Public Assembly,886524.7200000013,,57406988.0,1246.55
Hotel,2005,1.0,9,Hotel,135006.0,64.0,12871628.0,388.37
Other,2008,1.0,6,Parking,335109.0,,9238992.0,162.41
Other,1990,4.180000000000064,5,Other,601615.0,34.0,147299056.0,4906.33
Warehouse,1991,1.0,3,Non-Refrigerated Warehouse,67236.0,91.0,571637.5,9.63
Other,2000,4.180000000000064,8,Other,886524.7200000013,29.0,296671744.0,10734.57
Other,1999,1.0,5,Senior Care Community,55259.0,,10281401.0,193.94
Other,1928,1.0,2,K-12 School,55500.0,98.0,1597907.25,72.88
Hotel,1931,1.0,16,Hotel,106860.0,49.0,12616417.0,469.57
Small- and Mid-Sized Office,1972,1.0,5,Office,47079.0,62.0,3321734.0,49.09
Other,1914,1.0,7,Other - Entertainment/Public Assembly,109754.0,,6057410.0,57.21
Other,1913,1.0,9,Other,63934.0,76.0,5879083.0,254.87
Other,1955,1.0,15,Other,203000.0,,61674856.0,433.6
Other,1973,1.0,1,Other,77810.0,,3576720.0,101.41
Other,1927,1.0,5,Medical Office,146741.0,1.0,28731502.0,661.04
Hotel,1961,1.0,4,Hotel,122309.0,8.0,26122018.0,1060.13
Hotel,2003,1.0,8,Hotel,277000.0,29.0,26831896.0,780.84
Other,1980,1.0,2,Other - Entertainment/Public Assembly,69400.0,,15230290.0,301.76
Warehouse,2008,1.0,4,Non-Refrigerated Warehouse,159372.0,72.0,3944732.0,26.39
Small- and Mid-Sized Office,1981,1.0,4,Office,62108.0,57.0,5168686.5,68.19
Large Office,1978,1.0,12,Office,173786.0,39.0,18811322.0,149.27
Large Office,1989,1.0,25,Office,383942.0,74.0,24755086.0,172.58
Retail Store,1925,1.0,10,Retail Store,361107.0,93.0,40037736.0,398.19
Small- and Mid-Sized Office,1926,1.0,10,Office,45260.0,90.0,3826622.5,170.51
Large Office,1930,1.0,17,Office,142034.0,91.0,8081443.0,100.26
Small- and Mid-Sized Office,1916,1.0,5,Office,51557.0,61.0,3992167.75,26.19
Large Office,1969,1.0,20,Office,226454.0,90.0,15742790.0,563.25
Large Office,2009,1.0,25,Office,582725.0,95.0,27018020.0,229.25
Large Office,1968,1.0,12,Office,161000.0,91.0,9075988.0,222.19
Large Office,2009,1.0,36,Office,743562.0,97.0,39360016.0,275.54
Large Office,1990,1.0,16,Office,311736.0,94.0,18468776.0,130.73
Small- and Mid-Sized Office,1900,1.0,7,Office,64712.0,85.0,4135330.5,51.67
Small- and Mid-Sized Office,1900,1.0,6,Office,82355.0,66.0,4188308.75,31.97
Large Office,1922,1.0,15,Office,388934.0,89.0,18982748.0,213.23
Large Office,1929,1.0,22,Office,348969.0,98.0,10471812.0,70.15
Large Office,1958,1.0,17,Office,236827.0,69.0,0.0,940.47
Large Office,1983,1.0,47,Office,886524.7200000013,94.0,44683660.0,318.97
Large Office,1986,1.0,41,Office,470416.0,84.0,24603420.0,171.52
Large Office,1968,1.0,8,Office,84838.0,81.0,3743228.5,26.1
Large Office,1980,1.0,34,Office,606050.0,81.0,32577050.0,231.32
Large Office,1969,1.0,49,Office,808980.0,89.0,47518124.0,627.87
Large Office,1907,1.0,8,Office,161762.0,91.0,9510490.0,175.95
